session,frame,grid,variant,orientation,matched,mismatched,partner
20241219_050046,20241219_050046_000033,4,full,0,-0.19677912034822453,-0.2039959567538782,20241219_050046_000035
20241219_050046,20241219_050046_000034,4,full,0,-0.15382718024021802,-0.1979074547134656,20241219_050046_000058
20241219_050046,20241219_050046_000035,4,full,0,-0.2126290154909484,-0.20828966640894722,20241219_050046_000053
20241219_050046,20241219_050046_000036,4,full,0,0.02059516289363818,-0.039461392345294076,20241219_050046_000056
20241219_050046,20241219_050046_000037,4,full,0,-0.05558412346119482,-0.11350609748105019,20241219_050046_000004
20241219_050046,20241219_050046_000038,4,full,0,-0.20707033311772857,-0.21123724981908573,20241219_050046_000034
20241219_050046,20241219_050046_000039,4,full,0,0.07826373791217435,0.055668336689422115,20241219_050046_000034
20241219_050046,20241219_050046_000040,4,full,0,-0.06805898317112417,0.00794062323140469,20241219_050046_000061
20241219_050046,20241219_050046_000041,4,full,0,-0.07373111143016726,-0.17142431963957871,20241219_050046_000036
20241219_050046,20241219_050046_000042,4,full,0,0.40580749124646953,0.33592491002888386,20241219_050046_000002
20241219_050046,20241219_050046_000043,4,full,0,0.013828071924763041,0.03886859487925352,20241219_050046_000051
20241219_050046,20241219_050046_000044,4,full,0,-0.08075693918067121,-0.05543176514492123,20241219_050046_000009
20241219_050046,20241219_050046_000045,4,full,0,-0.16107528600631343,-0.1760150434224448,20241219_050046_000006
20241219_050046,20241219_050046_000046,4,full,0,-0.11448062503389549,-0.1935755556116787,20241219_050046_000003
20241219_050046,20241219_050046_000047,4,full,0,-0.1394425207612339,-0.12483413591820292,20241219_050046_000027
20241219_050046,20241219_050046_000048,4,full,0,-0.024228654268171817,-0.15540657471249564,20241219_050046_000060
20241219_050046,20241219_050046_000049,4,full,0,-0.32273691485284023,-0.31140384560941303,20241219_050046_000010
20241219_050046,20241219_050046_000050,4,full,0,0.24650204004306642,0.2128449402929766,20241219_050046_000023
20241219_050046,20241219_050046_000051,4,full,0,0.17878989607560644,0.15252787674198434,20241219_050046_000014
20241219_050046,20241219_050046_000052,4,full,0,0.06975031748732707,0.041669672066149015,20241219_050046_000045
20241219_050046,20241219_050046_000053,4,full,0,0.11003613299391811,0.19594594222224984,20241219_050046_000007
20241219_050046,20241219_050046_000054,4,full,0,-0.32545112056455267,-0.3339270630754209,20241219_050046_000017
20241219_050046,20241219_050046_000055,4,full,0,0.006391311842325197,0.016959151619023078,20241219_050046_000046
20241219_050046,20241219_050046_000056,4,full,0,-0.018345558370859716,-0.015666346380887725,20241219_050046_000001
20241219_050046,20241219_050046_000057,4,full,0,0.28786627986427926,0.2690145728750229,20241219_050046_000015
20241219_050046,20241219_050046_000058,4,full,0,0.2543037891319344,0.21508704003277423,20241219_050046_000012
20241219_050046,20241219_050046_000059,4,full,0,-0.05841093528673937,-0.09025711898999343,20241219_050046_000054
20241219_050046,20241219_050046_000060,4,full,0,-0.22470349341160892,-0.2457505643259096,20241219_050046_000021
20241219_050046,20241219_050046_000061,4,full,0,-0.14662121681719834,-0.1961020219924008,20241219_050046_000040
20241219_050046,20241219_050046_000062,4,full,0,0.036274924269378374,-0.06656124148833949,20241219_050046_000037
20241219_050046,20241219_050046_000063,4,full,0,-0.09896789473560526,-0.0890272560229997,20241219_050046_000062
20241219_050648,20241219_050648_000000,4,full,0,0.17312804075970553,0.14864503751222188,20241219_050648_000040
20241219_050648,20241219_050648_000001,4,full,0,0.12875664613212465,0.09253071679279336,20241219_050648_000018
20241219_050648,20241219_050648_000002,4,full,0,-0.2500829828289802,-0.24628439078839667,20241219_050648_000031
20241219_050648,20241219_050648_000003,4,full,0,0.06156249507875852,0.04637361032831381,20241219_050648_000020
20241219_050648,20241219_050648_000004,4,full,0,0.25797300106339033,0.21566069532319063,20241219_050648_000027
20241219_050648,20241219_050648_000005,4,full,0,-0.1277215563477487,-0.09989706210612621,20241219_050648_000063
20241219_050648,20241219_050648_000006,4,full,0,-0.20590379090226218,-0.14447564841830435,20241219_050648_000051
20241219_050648,20241219_050648_000007,4,full,0,0.13263795452510543,0.12472002838940115,20241219_050648_000006
20241219_050648,20241219_050648_000008,4,full,0,0.05907501161401963,0.0646959582273376,20241219_050648_000034
20241219_050648,20241219_050648_000009,4,full,0,0.03499296681234416,0.039695824371937506,20241219_050648_000035
20241219_050648,20241219_050648_000010,4,full,0,0.029773700564854285,0.08699994990400867,20241219_050648_000062
20241219_050648,20241219_050648_000011,4,full,0,0.23015987987743405,0.3521959701501025,20241219_050648_000055
20241219_050648,20241219_050648_000012,4,full,0,-0.0673977261420605,-0.07943535582149029,20241219_050648_000045
20241219_050648,20241219_050648_000013,4,full,0,-0.15615082828610213,-0.1490926352541421,20241219_050648_000005
20241219_050648,20241219_050648_000014,4,full,0,-0.23147749191269704,-0.26018456667310086,20241219_050648_000025
20241219_050648,20241219_050648_000015,4,full,0,0.1888727384146847,0.28488231857169616,20241219_050648_000009
20241219_050648,20241219_050648_000016,4,full,0,0.10717675671863687,0.11112224437320063,20241219_050648_000039
20241219_050648,20241219_050648_000017,4,full,0,0.12486301966120873,0.07167706658114319,20241219_050648_000015
20241219_050648,20241219_050648_000018,4,full,0,-0.24924963679254217,-0.19802745786033416,20241219_050648_000042
20241219_050648,20241219_050648_000019,4,full,0,-0.23834499801422424,-0.22278977322985086,20241219_050648_000037
20241219_050648,20241219_050648_000020,4,full,0,0.06127946147904833,0.11059003950137815,20241219_050648_000008
20241219_050648,20241219_050648_000021,4,full,0,-0.3046026773554717,-0.24099683147047246,20241219_050648_000029
20241219_050648,20241219_050648_000022,4,full,0,-0.14309597601054472,-0.1532587449126995,20241219_050648_000001
20241219_050648,20241219_050648_000023,4,full,0,0.11397435580758454,0.08873619393719778,20241219_050648_000058
20241219_050648,20241219_050648_000024,4,full,0,-0.08480243009856665,-0.07271117662373369,20241219_050648_000002
20241219_050648,20241219_050648_000025,4,full,0,0.07561683415169587,0.06972736674271483,20241219_050648_000023
20241219_050648,20241219_050648_000026,4,full,0,0.33037208253146577,0.31593409967032043,20241219_050648_000014
20241219_050648,20241219_050648_000027,4,full,0,0.4505208430678273,0.3852321106261427,20241219_050648_000041
