timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/07 23:54:31.329, 27955 MiB, 81920 MiB, 0 %, 193.76 W, 46
2026/09/07 23:55:01.330, 27955 MiB, 81920 MiB, 28 %, 154.03 W, 46
2026/09/07 23:55:31.332, 27955 MiB, 81920 MiB, 37 %, 174.58 W, 46
2026/09/07 23:56:01.335, 27955 MiB, 81920 MiB, 69 %, 268.74 W, 49
2026/09/07 23:56:31.336, 27955 MiB, 81920 MiB, 33 %, 163.91 W, 43
2026/09/07 23:57:01.337, 27955 MiB, 81920 MiB, 0 %, 89.75 W, 42
2026/09/07 23:57:31.339, 27955 MiB, 81920 MiB, 0 %, 93.79 W, 43
2026/09/07 23:58:01.340, 27955 MiB, 81920 MiB, 49 %, 113.27 W, 46
2026/09/07 23:58:31.342, 27955 MiB, 81920 MiB, 92 %, 280.55 W, 51
2026/09/07 23:59:01.343, 27955 MiB, 81920 MiB, 75 %, 95.56 W, 45
2026/09/07 23:59:31.344, 27955 MiB, 81920 MiB, 68 %, 291.81 W, 48
2026/09/08 00:00:01.345, 27955 MiB, 81920 MiB, 0 %, 89.94 W, 43
2026/09/08 00:00:31.346, 27955 MiB, 81920 MiB, 52 %, 166.41 W, 45
2026/09/08 00:01:01.347, 27955 MiB, 81920 MiB, 99 %, 179.64 W, 48
2026/09/08 00:01:31.349, 27955 MiB, 81920 MiB, 0 %, 89.29 W, 42
2026/09/08 00:02:01.351, 27955 MiB, 81920 MiB, 0 %, 89.74 W, 42
2026/09/08 00:02:31.353, 27955 MiB, 81920 MiB, 0 %, 89.75 W, 43
2026/09/08 00:03:01.356, 27955 MiB, 81920 MiB, 92 %, 117.64 W, 47
2026/09/08 00:03:31.358, 27955 MiB, 81920 MiB, 41 %, 245.40 W, 48
2026/09/08 00:04:01.359, 27955 MiB, 81920 MiB, 56 %, 111.45 W, 44
2026/09/08 00:04:31.360, 27955 MiB, 81920 MiB, 0 %, 89.84 W, 46
2026/09/08 00:05:01.361, 27955 MiB, 81920 MiB, 0 %, 89.57 W, 42
2026/09/08 00:05:31.363, 27955 MiB, 81920 MiB, 4 %, 89.85 W, 43
2026/09/08 00:06:01.364, 27955 MiB, 81920 MiB, 0 %, 90.02 W, 43
2026/09/08 00:06:31.365, 27955 MiB, 81920 MiB, 30 %, 182.03 W, 46
2026/09/08 00:07:01.367, 27955 MiB, 81920 MiB, 0 %, 89.38 W, 42
2026/09/08 00:07:31.370, 27955 MiB, 81920 MiB, 0 %, 74.34 W, 41
2026/09/08 00:08:01.371, 27955 MiB, 81920 MiB, 0 %, 71.95 W, 40
2026/09/08 00:08:31.372, 27955 MiB, 81920 MiB, 0 %, 89.84 W, 42
2026/09/08 00:09:01.375, 27955 MiB, 81920 MiB, 0 %, 211.88 W, 47
2026/09/08 00:09:31.378, 27955 MiB, 81920 MiB, 59 %, 96.28 W, 44
2026/09/08 00:10:01.380, 27955 MiB, 81920 MiB, 8 %, 89.75 W, 42
2026/09/08 00:10:31.381, 27955 MiB, 81920 MiB, 59 %, 89.84 W, 43
2026/09/08 00:11:01.383, 27955 MiB, 81920 MiB, 87 %, 127.68 W, 46
2026/09/08 00:11:31.384, 27955 MiB, 81920 MiB, 3 %, 89.38 W, 42
2026/09/08 00:12:01.385, 27955 MiB, 81920 MiB, 100 %, 323.42 W, 49
2026/09/08 00:12:31.387, 27955 MiB, 81920 MiB, 93 %, 168.56 W, 47
2026/09/08 00:13:01.389, 27955 MiB, 81920 MiB, 93 %, 150.64 W, 46
2026/09/08 00:13:31.390, 27955 MiB, 81920 MiB, 66 %, 138.31 W, 43
2026/09/08 00:14:01.391, 27955 MiB, 81920 MiB, 85 %, 113.59 W, 47
2026/09/08 00:14:31.392, 27955 MiB, 81920 MiB, 33 %, 95.56 W, 47
2026/09/08 00:15:01.393, 27955 MiB, 81920 MiB, 0 %, 89.66 W, 42
2026/09/08 00:15:31.395, 27955 MiB, 81920 MiB, 69 %, 102.48 W, 46
2026/09/08 00:16:01.396, 27955 MiB, 81920 MiB, 43 %, 205.41 W, 44
2026/09/08 00:16:31.398, 27955 MiB, 81920 MiB, 91 %, 220.61 W, 48
2026/09/08 00:17:01.399, 27955 MiB, 81920 MiB, 76 %, 252.84 W, 48
2026/09/08 00:17:31.401, 27955 MiB, 81920 MiB, 84 %, 267.31 W, 48
2026/09/08 00:18:01.402, 27955 MiB, 81920 MiB, 30 %, 91.03 W, 44
2026/09/08 00:18:31.403, 27955 MiB, 81920 MiB, 77 %, 191.29 W, 46
2026/09/08 00:19:01.404, 27955 MiB, 81920 MiB, 50 %, 130.35 W, 44
2026/09/08 00:19:31.406, 27955 MiB, 81920 MiB, 45 %, 90.35 W, 44
2026/09/08 00:20:01.407, 27955 MiB, 81920 MiB, 7 %, 91.12 W, 44
2026/09/08 00:20:31.408, 27955 MiB, 81920 MiB, 99 %, 292.97 W, 50
2026/09/08 00:21:01.409, 27955 MiB, 81920 MiB, 11 %, 153.27 W, 45
2026/09/08 00:21:31.412, 27955 MiB, 81920 MiB, 0 %, 90.35 W, 43
2026/09/08 00:22:01.419, 27955 MiB, 81920 MiB, 0 %, 90.43 W, 43
2026/09/08 00:22:31.421, 27955 MiB, 81920 MiB, 3 %, 84.93 W, 42
2026/09/08 00:23:01.421, 27955 MiB, 81920 MiB, 0 %, 79.19 W, 41
2026/09/08 00:23:31.423, 27955 MiB, 81920 MiB, 34 %, 157.29 W, 44
2026/09/08 00:24:01.425, 27955 MiB, 81920 MiB, 42 %, 158.60 W, 45
2026/09/08 00:24:31.426, 27955 MiB, 81920 MiB, 0 %, 89.66 W, 42
2026/09/08 00:25:01.427, 27955 MiB, 81920 MiB, 94 %, 186.91 W, 48
2026/09/08 00:25:31.431, 27955 MiB, 81920 MiB, 1 %, 125.63 W, 42
2026/09/08 00:26:01.433, 27955 MiB, 81920 MiB, 32 %, 238.25 W, 49
2026/09/08 00:26:31.434, 27955 MiB, 81920 MiB, 64 %, 109.28 W, 46
2026/09/08 00:27:01.436, 27955 MiB, 81920 MiB, 61 %, 91.64 W, 45
2026/09/08 00:27:31.437, 27955 MiB, 81920 MiB, 36 %, 137.30 W, 46
2026/09/08 00:28:01.439, 27955 MiB, 81920 MiB, 32 %, 89.75 W, 43
2026/09/08 00:28:31.440, 27955 MiB, 81920 MiB, 0 %, 89.24 W, 42
2026/09/08 00:29:01.441, 27955 MiB, 81920 MiB, 0 %, 90.35 W, 43
2026/09/08 00:29:31.442, 27955 MiB, 81920 MiB, 3 %, 89.66 W, 46
2026/09/08 00:30:01.443, 27955 MiB, 81920 MiB, 49 %, 91.26 W, 43
2026/09/08 00:30:31.444, 27955 MiB, 81920 MiB, 1 %, 113.04 W, 44
2026/09/08 00:31:01.447, 27955 MiB, 81920 MiB, 92 %, 356.20 W, 46
2026/09/08 00:31:31.449, 27955 MiB, 81920 MiB, 0 %, 89.06 W, 42
2026/09/08 00:32:01.451, 27955 MiB, 81920 MiB, 89 %, 135.21 W, 47
2026/09/08 00:32:31.452, 27955 MiB, 81920 MiB, 31 %, 174.73 W, 45
2026/09/08 00:33:01.453, 27955 MiB, 81920 MiB, 82 %, 206.07 W, 47
2026/09/08 00:33:31.455, 27955 MiB, 81920 MiB, 78 %, 321.71 W, 49
2026/09/08 00:34:01.457, 27955 MiB, 81920 MiB, 0 %, 90.71 W, 44
2026/09/08 00:34:31.458, 27955 MiB, 81920 MiB, 69 %, 104.55 W, 45
2026/09/08 00:35:01.459, 27955 MiB, 81920 MiB, 0 %, 89.75 W, 43
2026/09/08 00:35:31.462, 27955 MiB, 81920 MiB, 98 %, 126.35 W, 47
2026/09/08 00:36:01.464, 27955 MiB, 81920 MiB, 33 %, 91.86 W, 46
2026/09/08 00:36:31.465, 27955 MiB, 81920 MiB, 30 %, 99.34 W, 46
2026/09/08 00:37:01.467, 27955 MiB, 81920 MiB, 0 %, 71.88 W, 41
2026/09/08 00:37:31.468, 27955 MiB, 81920 MiB, 0 %, 70.96 W, 38
2026/09/08 00:38:01.469, 27955 MiB, 81920 MiB, 78 %, 312.46 W, 45
2026/09/08 00:38:31.471, 27955 MiB, 81920 MiB, 63 %, 277.29 W, 45
2026/09/08 00:39:01.472, 27955 MiB, 81920 MiB, 0 %, 89.66 W, 42
2026/09/08 00:39:31.475, 27955 MiB, 81920 MiB, 0 %, 91.31 W, 42
2026/09/08 00:40:01.477, 27955 MiB, 81920 MiB, 80 %, 282.34 W, 48
2026/09/08 00:40:31.478, 27955 MiB, 81920 MiB, 0 %, 73.07 W, 41
2026/09/08 00:41:01.480, 27955 MiB, 81920 MiB, 0 %, 89.57 W, 42
2026/09/08 00:41:31.481, 27955 MiB, 81920 MiB, 53 %, 189.62 W, 47
2026/09/08 00:42:01.483, 27955 MiB, 81920 MiB, 52 %, 212.20 W, 47
2026/09/08 00:42:31.484, 27955 MiB, 81920 MiB, 33 %, 167.59 W, 46
2026/09/08 00:43:01.486, 27955 MiB, 81920 MiB, 3 %, 123.09 W, 44
2026/09/08 00:43:31.487, 27955 MiB, 81920 MiB, 60 %, 121.23 W, 46
2026/09/08 00:44:01.488, 27955 MiB, 81920 MiB, 65 %, 118.84 W, 43
2026/09/08 00:44:31.490, 27955 MiB, 81920 MiB, 0 %, 89.38 W, 41
2026/09/08 00:45:01.491, 27955 MiB, 81920 MiB, 29 %, 90.16 W, 43
2026/09/08 00:45:31.493, 27955 MiB, 81920 MiB, 81 %, 294.16 W, 48
2026/09/08 00:46:01.494, 27955 MiB, 81920 MiB, 68 %, 111.57 W, 45
2026/09/08 00:46:31.495, 27955 MiB, 81920 MiB, 12 %, 123.69 W, 46
